"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Strain.Name","Inventory.Conversions.Batch.Name","package_ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date","Manufacture Date from Wholesale","Manufacture Date from Cult","Manufacture Date from Downtown"
"4622","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","Hybrid","221227-001-BBC","42688","12/27/2022","https://lims.tagleaf.com/coas/ULkMC2TS05zhsxhW70prAA461Iums8GmTgJYrh2xNBOSoCgsDm","Forever 46, LLC - 00000057DCHF00477864","","","5/31/2023",NA,"5/31/2023"
"4623","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","Hybrid","221227-001-BBC","42688","12/27/2022","https://lims.tagleaf.com/coas/ULkMC2TS05zhsxhW70prAA461Iums8GmTgJYrh2xNBOSoCgsDm","Forever 46, LLC - 00000057DCHF00477864","","","5/31/2023",NA,"5/31/2023"
"4624","DTF - Downtown Flower","Kosher Kush 14g - Mid","Kosher Kush","235-221227.0001","35149","12/27/2022","https://lims.tagleaf.com/coas/1tlDJ09Nf47vObfLi1i4EiChQWPgMRpVdI1FkfFNEM1bTIELZf","Forever 46, LLC - 00000057DCHF00477864","","",NA,"2/21/2023",NA
"4625","DTF - Downtown Flower","Kosher Kush 14g - Mid","Kosher Kush","235-221227.0001","35149","12/27/2022","https://lims.tagleaf.com/coas/1tlDJ09Nf47vObfLi1i4EiChQWPgMRpVdI1FkfFNEM1bTIELZf","Forever 46, LLC - 00000057DCHF00477864","","",NA,"",NA
"4626","DTF - Downtown Flower","Kosher Kush 14g - Mid","Kosher Kush","235-221227.0001","35149","12/27/2022","https://lims.tagleaf.com/coas/1tlDJ09Nf47vObfLi1i4EiChQWPgMRpVdI1FkfFNEM1bTIELZf","Forever 46, LLC - 00000057DCHF00477864","","",NA,"2/21/2023",NA
"4627","iLAVA","ClearGold Cartridge 1000mg - GG4","GG4","231221-009CGGG","55310","12/27/2022","https://orders.confidentcannabis.com/report/public/pdf/3acd98f1-c376-46db-958c-f5929b7a5ce5","Forever 46, LLC - 00000057DCHF00477864","","","12/21/2023",NA,"12/21/2023"
"4628","iLAVA","ClearGold Cartridge 1000mg - GG4","GG4","231221-009CGGG","55310","12/27/2022","https://orders.confidentcannabis.com/report/public/pdf/3acd98f1-c376-46db-958c-f5929b7a5ce5","Forever 46, LLC - 00000057DCHF00477864","","","12/21/2023",NA,"12/21/2023"
"4629","iLAVA","ClearGold Cartridge 1000mg - GG4","GG4","231221-009CGGG","55310","12/27/2022","https://orders.confidentcannabis.com/report/public/pdf/3acd98f1-c376-46db-958c-f5929b7a5ce5","Forever 46, LLC - 00000057DCHF00477864","","12/21/2023","12/21/2023",NA,"12/21/2023"
"4630","iLAVA","ClearGold Cartridge 1000mg - GG4","GG4","231221-009CGGG","55310","12/27/2022","https://orders.confidentcannabis.com/report/public/pdf/3acd98f1-c376-46db-958c-f5929b7a5ce5","Forever 46, LLC - 00000057DCHF00477864","","12/21/2023","12/21/2023",NA,"12/21/2023"
"4631","DTF - Downtown Flower","Cali Lightning 3.5g - Signature","Cali Lightning","CLT-221227.0001","35028","12/27/2022","https://lims.tagleaf.com/coas/jsyg4OjpaL66jYwvbY4Ck91V5ctoK9Z9Y2BtyFB3nfm7HNjROQ","Forever 46, LLC - 00000057DCHF00477864","","",NA,"2/21/2023",NA
"4632","DTF - Downtown Flower","Cali Lightning 3.5g - Signature","Cali Lightning","CLT-221227.0001","35028","12/27/2022","https://lims.tagleaf.com/coas/jsyg4OjpaL66jYwvbY4Ck91V5ctoK9Z9Y2BtyFB3nfm7HNjROQ","Forever 46, LLC - 00000057DCHF00477864","","",NA,"",NA
